id	filename	md5	size	state
286c6cab-8f23-48e0-95f6-ff2072c98a7c	286c6cab-8f23-48e0-95f6-ff2072c98a7c/MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_D05_723806.level3.data.txt	19d3d6d42efc84465181f42d1c5c857f	279602	validated
307b84ca-b1fa-48d7-84cc-6324329a2944	307b84ca-b1fa-48d7-84cc-6324329a2944/SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_B07_588298.level3.data.txt	e63d894bc498d382aa26a344c3bc970d	279490	validated
32bac120-a8a7-4961-b4a6-c436df1c4578	32bac120-a8a7-4961-b4a6-c436df1c4578/SPANS_p_TCGA_Batch60_62_Expr_HT_HG-U133A_24-HTA_E07_691850.level3.data.txt	7b5ac86c8ad964a57463ab11383ac03c	279553	validated
35bb7a65-994f-4562-b523-533c011708ca	35bb7a65-994f-4562-b523-533c011708ca/CALIX_p_MM_TCGA_TOPG_AM_0708_HT_HG-U133A_96-HTA_D01_616726.level3.data.txt	499ee1b71a257c44aa8d8b2b919229cc	279561	validated
39a4d5b6-a885-4cc5-b452-dff4a19f0af5	39a4d5b6-a885-4cc5-b452-dff4a19f0af5/SPANS_p_TCGA_Batch60_62_Expr_HT_HG-U133A_24-HTA_D07_691842.level3.data.txt	74c47e59f0ede4e70f3dd41a024b58ff	279547	validated
3a0c1f71-50cd-4125-b115-5200d1cac887	3a0c1f71-50cd-4125-b115-5200d1cac887/SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_D10_588224.level3.data.txt	d534f6c41ec2711b44580b9f61561bb7	279567	validated
3b81f1b6-abd3-4d94-b8b2-1f6228dd9e4d	3b81f1b6-abd3-4d94-b8b2-1f6228dd9e4d/SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_B01_588294.level3.data.txt	1edcb391088c0f48dcc6fe76ebce5692	279463	validated
3be3bd87-d366-4064-9f8a-a4f1ee95180c	3be3bd87-d366-4064-9f8a-a4f1ee95180c/SPANS_p_TCGA_Batch60_62_Expr_HT_HG-U133A_24-HTA_C09_691838.level3.data.txt	e0c9fdd79abc3dce329c3b6770c1b310	279512	validated
3cdecb3e-8dee-459e-a68a-74dd3c8ce7e5	3cdecb3e-8dee-459e-a68a-74dd3c8ce7e5/CALIX_p_MM_TCGA_TOPG_AM_0708_HT_HG-U133A_96-HTA_B08_616690.level3.data.txt	2e158f09fc5934ff9d31e36b08700eb2	279622	validated
3f2b5e28-9bb1-40aa-8588-da8a375df96e	3f2b5e28-9bb1-40aa-8588-da8a375df96e/SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_D01_588308.level3.data.txt	6ce5ba66d0e6668e7145745f475084dc	279491	validated
3f87f54a-763e-464e-b4ac-95fd6d2cee6e	3f87f54a-763e-464e-b4ac-95fd6d2cee6e/SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_C02_588284.level3.data.txt	202cc03acb307261cc624cdd331cf6ea	279512	validated
41126b45-2c1f-4cc1-a8b1-c62a9e8fe0a6	41126b45-2c1f-4cc1-a8b1-c62a9e8fe0a6/SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_D07_588312.level3.data.txt	9a21f70717df78f9da3f965ab29c2813	279594	validated
42d65cc9-04d2-4e07-bd75-a80ad0b1cf78	42d65cc9-04d2-4e07-bd75-a80ad0b1cf78/CALIX_p_MM_TCGA_TOPG_AM_0708_HT_HG-U133A_96-HTA_B03_616684.level3.data.txt	2e9e42cb6df4b6e138309d5254e52861	279530	validated
444a7da4-9d55-4189-92fa-50d3df72b254	444a7da4-9d55-4189-92fa-50d3df72b254/DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_F03_543656.level3.data.txt	1d9ab6dfd84f4ceeaae9bb0c9d424ba1	279599	validated
4484dd43-7ecb-4cb4-a581-e9058eb38cd4	4484dd43-7ecb-4cb4-a581-e9058eb38cd4/SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_B08_588296.level3.data.txt	5d22e21e5a8fd8994d62fcd8f8f0ecd7	279482	validated
45ebfd26-de40-409e-8e29-471069b87153	45ebfd26-de40-409e-8e29-471069b87153/CALIX_p_MM_TCGA_TOPG_AM_0708_HT_HG-U133A_96-HTA_B05_616688.level3.data.txt	cee63ee07c2f8d505cbc54c9d77cf075	279516	validated
4ab850e3-5a4c-4d8c-9614-5d0ff27be911	4ab850e3-5a4c-4d8c-9614-5d0ff27be911/SPANS_p_TCGA_Batch60_62_Expr_HT_HG-U133A_24-HTA_C05_691962.level3.data.txt	94353b622b941d81ba11915454f31a95	279603	validated
5133dc22-5078-4761-8f11-db885f950c2a	5133dc22-5078-4761-8f11-db885f950c2a/SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_B03_588290.level3.data.txt	ad062e3b44a43c3b23a598764582b143	279527	validated
552eae5a-0196-4305-b297-5aeb1485b3c2	552eae5a-0196-4305-b297-5aeb1485b3c2/CALIX_p_MM_TCGA_TOPG_AM_0708_HT_HG-U133A_96-HTA_C08_616716.level3.data.txt	45b01464fe27d422a3402aad2f3b1409	279585	validated
5737089d-5a59-47de-8cd8-5b142f230364	5737089d-5a59-47de-8cd8-5b142f230364/CALIX_p_MM_TCGA_TOPG_AM_0708_HT_HG-U133A_96-HTA_B07_616692.level3.data.txt	f94a78d280b1d8a1b1dd62f29031281a	279572	validated
5981e5fb-9fe0-4325-beb8-8a481c6b24ea	5981e5fb-9fe0-4325-beb8-8a481c6b24ea/SPANS_p_TCGA_Batch60_62_Expr_HT_HG-U133A_24-HTA_H07_691948.level3.data.txt	a5ccbd33cbded3e21ff3495fd9f02c0f	279528	validated
5a859c16-b456-44cb-80f7-dd6a7a30755e	5a859c16-b456-44cb-80f7-dd6a7a30755e/MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_B07_723946.level3.data.txt	214ae0227b7804fc5be6a34525bedf47	279595	validated
5ca4e0a9-3804-4891-92b4-9551d6ff64fa	5ca4e0a9-3804-4891-92b4-9551d6ff64fa/SPANS_p_TCGA_Batch60_62_Expr_HT_HG-U133A_24-HTA_E05_691872.level3.data.txt	19d23431c331032278b4e5b69a81dabe	279532	validated
5d1e0c95-5080-4013-b62e-50f82d53e6ac	5d1e0c95-5080-4013-b62e-50f82d53e6ac/CALIX_p_MM_TCGA_TOPG_AM_0708_HT_HG-U133A_96-HTA_B02_616678.level3.data.txt	c3479a6a570b2d9a57103b5bda61b104	279531	validated
5ec7efda-4b34-4dea-9fbc-9ec41420ac22	5ec7efda-4b34-4dea-9fbc-9ec41420ac22/SPANS_p_TCGA_Batch60_62_Expr_HT_HG-U133A_24-HTA_B09_691972.level3.data.txt	a3e8fc5c40458c5776dd89105209f239	279609	validated
5f99a617-f8e7-42bb-a5ae-2f4b909b9ec7	5f99a617-f8e7-42bb-a5ae-2f4b909b9ec7/MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_H05_723986.level3.data.txt	62cf767a68c4d78576949e91987fbb7f	279659	validated
6860f3c1-eed7-48e6-8c75-3ecea6d2cd40	6860f3c1-eed7-48e6-8c75-3ecea6d2cd40/SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_B06_588300.level3.data.txt	13a5c49d5c6a2ec03efbc13be915b32b	279476	validated
68c7ded9-8824-418e-96fe-7d1522d903b8	68c7ded9-8824-418e-96fe-7d1522d903b8/SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_D04_588306.level3.data.txt	11d710197bf5ccd2239d613a1a1c53c1	279511	validated
68eed290-e65f-4986-88c4-3037bfffe6df	68eed290-e65f-4986-88c4-3037bfffe6df/CALIX_p_MM_TCGA_TOPG_AM_0708_HT_HG-U133A_96-HTA_B04_616682.level3.data.txt	c18e8cf851630998871adf6105be0785	279601	validated
697ef6d5-9301-4f54-bdbd-d6bb513caca7	697ef6d5-9301-4f54-bdbd-d6bb513caca7/SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_C07_588320.level3.data.txt	a1ae689b9353cfd5db045a4e84136542	279498	validated
6bdaf2e8-d91b-4777-963c-4b44c45f573d	6bdaf2e8-d91b-4777-963c-4b44c45f573d/SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_B05_588302.level3.data.txt	4ede990cf1636d422dae38dca5ad5c13	279599	validated
70cc7f20-a29c-47d6-ae2c-67acd4991996	70cc7f20-a29c-47d6-ae2c-67acd4991996/SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_B11_588274.level3.data.txt	92a0d0fc5692b4550943c2e40004c320	279557	validated
